Time,Fixed-Point-Operation,Node,Label,Old Bound,New Bound,Occurred Due To,Consistent,Triggered By,Inconsistency Message,Clause-1,Clause-2
0,0,cve_2021_3156,severity,"[0.0,1.0]","[0.78,0.78]",sudo_cve_severity,True,Fact,,,
0,0,cve_2022_0185,severity,"[0.0,1.0]","[0.84,0.84]",kernel_cve_severity,True,Fact,,,
0,0,cve_2022_26923,severity,"[0.0,1.0]","[0.75,0.75]",openssl_cve_severity,True,Fact,,,
0,0,cve_2021_3156,severity,"[0.78,0.78]","[0.0,1.0]",severity_source_A,False,Fact,"Inconsistency occurred. Conflicting bounds for severity(cve_2021_3156). Update from [0.780, 0.780] to [0.800, 1.000] is not allowed. Setting bounds to [0,1] and static=True for this timestep.",,
0,0,cve_2021_3156,severity,"[0.0,0.1]","[0.0,0.1]",severity_source_B,True,Fact,,,
0,0,web_server,patched,"[0.0,1.0]","[0.9,1.0]",patch_db_fact,True,Fact,,,
0,0,web_server,vulnerable,"[0.0,1.0]","[0.0,0.09999999999999998]",IPL: patched,True,IPL,,,
0,0,web_server,vulnerable,"[0.0,0.09999999999999998]","[0.0,1.0]",vuln_scanner_fact,False,Fact,"Inconsistency occurred. Grounding vulnerable(web_server) conflicts with grounding patched(web_server). Setting bounds to [0,1] and static=True for this timestep.",,
0,0,web_server,patched,"[0.9,1.0]","[0.0,1.0]",vuln_scanner_fact,False,IPL,"Inconsistency occurred. Grounding vulnerable(web_server) conflicts with grounding patched(web_server). Setting bounds to [0,1] and static=True for this timestep.",,
0,0,dev_server,patch_confidence,"[0.0,1.0]","[0.9,1.0]",dev_patch_db_fact,True,Fact,,,
0,1,web_server,at_risk,"[0.0,1.0]","[1.0,1.0]",exposure_rule,True,Rule,,"[('web_server', 'sudo_1_9_5p1')]","[('sudo_1_9_5p1', 'cve_2021_3156'), ('linux_kernel_5_1', 'cve_2022_0185'), ('openssl_3_0_1', 'cve_2022_26923')]"
0,1,workstation_1,at_risk,"[0.0,1.0]","[1.0,1.0]",exposure_rule,True,Rule,,"[('workstation_1', 'linux_kernel_5_1')]","[('sudo_1_9_5p1', 'cve_2021_3156'), ('linux_kernel_5_1', 'cve_2022_0185'), ('openssl_3_0_1', 'cve_2022_26923')]"
0,1,dev_server,at_risk,"[0.0,1.0]","[1.0,1.0]",exposure_rule,True,Rule,,"[('dev_server', 'openssl_3_0_1')]","[('sudo_1_9_5p1', 'cve_2021_3156'), ('linux_kernel_5_1', 'cve_2022_0185'), ('openssl_3_0_1', 'cve_2022_26923')]"
0,2,workstation_1,vulnerable,"[0.0,1.0]","[0.8,1.0]",vulnerability_rule,True,Rule,,['workstation_1'],
0,2,workstation_1,patched,"[0.0,1.0]","[0.0,0.19999999999999996]",IPL: vulnerable,True,IPL,,,
0,2,dev_server,vulnerable,"[0.0,1.0]","[0.8,1.0]",vulnerability_rule,True,Rule,,['dev_server'],
0,2,dev_server,patched,"[0.0,1.0]","[0.0,0.19999999999999996]",IPL: vulnerable,True,IPL,,,
0,3,workstation_1,compromised,"[0.0,1.0]","[0.8,1.0]",compromise_rule,True,Rule,,['workstation_1'],
0,3,dev_server,compromised,"[0.0,1.0]","[0.8,1.0]",compromise_rule,True,Rule,,['dev_server'],
0,4,workstation_1,patch_confidence,"[0.0,1.0]","[0.0,0.2]",unpatched_rule,True,Rule,,['workstation_1'],
0,4,dev_server,patch_confidence,"[0.9,1.0]","[0.0,1.0]",unpatched_rule,False,Rule,"Inconsistency occurred. Conflicting bounds for patch_confidence(dev_server). Update from [0.900, 1.000] to [0.000, 0.200] is not allowed. Setting bounds to [0,1] and static=True for this timestep.",['dev_server'],
1,5,cve_2021_3156,severity,"[0.78,0.78]","[0.78,0.78]",sudo_cve_severity,True,Fact,,,
1,5,cve_2022_0185,severity,"[0.0,1.0]","[0.84,0.84]",kernel_cve_severity,True,Fact,,,
1,5,cve_2022_26923,severity,"[0.0,1.0]","[0.75,0.75]",openssl_cve_severity,True,Fact,,,
1,5,cve_2021_3156,severity,"[0.8,1.0]","[0.8,1.0]",severity_source_A,True,Fact,,,
1,5,cve_2021_3156,severity,"[0.0,0.1]","[0.0,0.1]",severity_source_B,True,Fact,,,
1,5,web_server,patched,"[0.9,1.0]","[0.9,1.0]",patch_db_fact,True,Fact,,,
1,5,web_server,vulnerable,"[0.0,1.0]","[0.0,1.0]",patch_db_fact,True,IPL,,,
1,5,web_server,vulnerable,"[0.9,1.0]","[0.9,1.0]",vuln_scanner_fact,True,Fact,,,
1,5,web_server,patched,"[0.0,1.0]","[0.0,1.0]",vuln_scanner_fact,True,IPL,,,
1,5,dev_server,patch_confidence,"[0.9,1.0]","[0.9,1.0]",dev_patch_db_fact,True,Fact,,,
1,6,web_server,at_risk,"[0.0,1.0]","[1.0,1.0]",exposure_rule,True,Rule,,"[('web_server', 'sudo_1_9_5p1')]","[('sudo_1_9_5p1', 'cve_2021_3156'), ('linux_kernel_5_1', 'cve_2022_0185'), ('openssl_3_0_1', 'cve_2022_26923')]"
1,6,workstation_1,at_risk,"[0.0,1.0]","[1.0,1.0]",exposure_rule,True,Rule,,"[('workstation_1', 'linux_kernel_5_1')]","[('sudo_1_9_5p1', 'cve_2021_3156'), ('linux_kernel_5_1', 'cve_2022_0185'), ('openssl_3_0_1', 'cve_2022_26923')]"
1,6,dev_server,at_risk,"[0.0,1.0]","[1.0,1.0]",exposure_rule,True,Rule,,"[('dev_server', 'openssl_3_0_1')]","[('sudo_1_9_5p1', 'cve_2021_3156'), ('linux_kernel_5_1', 'cve_2022_0185'), ('openssl_3_0_1', 'cve_2022_26923')]"
1,7,workstation_1,vulnerable,"[0.0,1.0]","[0.8,1.0]",vulnerability_rule,True,Rule,,['workstation_1'],
1,7,workstation_1,patched,"[0.0,1.0]","[0.0,0.19999999999999996]",IPL: vulnerable,True,IPL,,,
1,7,dev_server,vulnerable,"[0.0,1.0]","[0.8,1.0]",vulnerability_rule,True,Rule,,['dev_server'],
1,7,dev_server,patched,"[0.0,1.0]","[0.0,0.19999999999999996]",IPL: vulnerable,True,IPL,,,
1,8,workstation_1,compromised,"[0.0,1.0]","[0.8,1.0]",compromise_rule,True,Rule,,['workstation_1'],
1,8,dev_server,compromised,"[0.0,1.0]","[0.8,1.0]",compromise_rule,True,Rule,,['dev_server'],
1,9,workstation_1,patch_confidence,"[0.0,1.0]","[0.0,0.2]",unpatched_rule,True,Rule,,['workstation_1'],
2,10,cve_2021_3156,severity,"[0.78,0.78]","[0.78,0.78]",sudo_cve_severity,True,Fact,,,
2,10,cve_2022_0185,severity,"[0.0,1.0]","[0.84,0.84]",kernel_cve_severity,True,Fact,,,
2,10,cve_2022_26923,severity,"[0.0,1.0]","[0.75,0.75]",openssl_cve_severity,True,Fact,,,
2,10,cve_2021_3156,severity,"[0.8,1.0]","[0.8,1.0]",severity_source_A,True,Fact,,,
2,10,cve_2021_3156,severity,"[0.0,0.1]","[0.0,0.1]",severity_source_B,True,Fact,,,
2,10,web_server,patched,"[0.9,1.0]","[0.9,1.0]",patch_db_fact,True,Fact,,,
2,10,web_server,vulnerable,"[0.0,1.0]","[0.0,1.0]",patch_db_fact,True,IPL,,,
2,10,web_server,vulnerable,"[0.9,1.0]","[0.9,1.0]",vuln_scanner_fact,True,Fact,,,
2,10,web_server,patched,"[0.0,1.0]","[0.0,1.0]",vuln_scanner_fact,True,IPL,,,
2,10,dev_server,patch_confidence,"[0.9,1.0]","[0.9,1.0]",dev_patch_db_fact,True,Fact,,,
2,11,web_server,at_risk,"[0.0,1.0]","[1.0,1.0]",exposure_rule,True,Rule,,"[('web_server', 'sudo_1_9_5p1')]","[('sudo_1_9_5p1', 'cve_2021_3156'), ('linux_kernel_5_1', 'cve_2022_0185'), ('openssl_3_0_1', 'cve_2022_26923')]"
2,11,workstation_1,at_risk,"[0.0,1.0]","[1.0,1.0]",exposure_rule,True,Rule,,"[('workstation_1', 'linux_kernel_5_1')]","[('sudo_1_9_5p1', 'cve_2021_3156'), ('linux_kernel_5_1', 'cve_2022_0185'), ('openssl_3_0_1', 'cve_2022_26923')]"
2,11,dev_server,at_risk,"[0.0,1.0]","[1.0,1.0]",exposure_rule,True,Rule,,"[('dev_server', 'openssl_3_0_1')]","[('sudo_1_9_5p1', 'cve_2021_3156'), ('linux_kernel_5_1', 'cve_2022_0185'), ('openssl_3_0_1', 'cve_2022_26923')]"
2,12,workstation_1,vulnerable,"[0.0,1.0]","[0.8,1.0]",vulnerability_rule,True,Rule,,['workstation_1'],
2,12,workstation_1,patched,"[0.0,1.0]","[0.0,0.19999999999999996]",IPL: vulnerable,True,IPL,,,
2,12,dev_server,vulnerable,"[0.0,1.0]","[0.8,1.0]",vulnerability_rule,True,Rule,,['dev_server'],
2,12,dev_server,patched,"[0.0,1.0]","[0.0,0.19999999999999996]",IPL: vulnerable,True,IPL,,,
2,13,workstation_1,compromised,"[0.0,1.0]","[0.8,1.0]",compromise_rule,True,Rule,,['workstation_1'],
2,13,dev_server,compromised,"[0.0,1.0]","[0.8,1.0]",compromise_rule,True,Rule,,['dev_server'],
2,14,workstation_1,patch_confidence,"[0.0,1.0]","[0.0,0.2]",unpatched_rule,True,Rule,,['workstation_1'],
3,15,cve_2021_3156,severity,"[0.78,0.78]","[0.78,0.78]",sudo_cve_severity,True,Fact,,,
3,15,cve_2022_0185,severity,"[0.0,1.0]","[0.84,0.84]",kernel_cve_severity,True,Fact,,,
3,15,cve_2022_26923,severity,"[0.0,1.0]","[0.75,0.75]",openssl_cve_severity,True,Fact,,,
3,15,cve_2021_3156,severity,"[0.8,1.0]","[0.8,1.0]",severity_source_A,True,Fact,,,
3,15,cve_2021_3156,severity,"[0.0,0.1]","[0.0,0.1]",severity_source_B,True,Fact,,,
3,15,web_server,patched,"[0.9,1.0]","[0.9,1.0]",patch_db_fact,True,Fact,,,
3,15,web_server,vulnerable,"[0.0,1.0]","[0.0,1.0]",patch_db_fact,True,IPL,,,
3,15,web_server,vulnerable,"[0.9,1.0]","[0.9,1.0]",vuln_scanner_fact,True,Fact,,,
3,15,web_server,patched,"[0.0,1.0]","[0.0,1.0]",vuln_scanner_fact,True,IPL,,,
3,15,dev_server,patch_confidence,"[0.9,1.0]","[0.9,1.0]",dev_patch_db_fact,True,Fact,,,
3,16,web_server,at_risk,"[0.0,1.0]","[1.0,1.0]",exposure_rule,True,Rule,,"[('web_server', 'sudo_1_9_5p1')]","[('sudo_1_9_5p1', 'cve_2021_3156'), ('linux_kernel_5_1', 'cve_2022_0185'), ('openssl_3_0_1', 'cve_2022_26923')]"
3,16,workstation_1,at_risk,"[0.0,1.0]","[1.0,1.0]",exposure_rule,True,Rule,,"[('workstation_1', 'linux_kernel_5_1')]","[('sudo_1_9_5p1', 'cve_2021_3156'), ('linux_kernel_5_1', 'cve_2022_0185'), ('openssl_3_0_1', 'cve_2022_26923')]"
3,16,dev_server,at_risk,"[0.0,1.0]","[1.0,1.0]",exposure_rule,True,Rule,,"[('dev_server', 'openssl_3_0_1')]","[('sudo_1_9_5p1', 'cve_2021_3156'), ('linux_kernel_5_1', 'cve_2022_0185'), ('openssl_3_0_1', 'cve_2022_26923')]"
3,17,workstation_1,vulnerable,"[0.0,1.0]","[0.8,1.0]",vulnerability_rule,True,Rule,,['workstation_1'],
3,17,workstation_1,patched,"[0.0,1.0]","[0.0,0.19999999999999996]",IPL: vulnerable,True,IPL,,,
3,17,dev_server,vulnerable,"[0.0,1.0]","[0.8,1.0]",vulnerability_rule,True,Rule,,['dev_server'],
3,17,dev_server,patched,"[0.0,1.0]","[0.0,0.19999999999999996]",IPL: vulnerable,True,IPL,,,
3,18,workstation_1,compromised,"[0.0,1.0]","[0.8,1.0]",compromise_rule,True,Rule,,['workstation_1'],
3,18,dev_server,compromised,"[0.0,1.0]","[0.8,1.0]",compromise_rule,True,Rule,,['dev_server'],
3,19,workstation_1,patch_confidence,"[0.0,1.0]","[0.0,0.2]",unpatched_rule,True,Rule,,['workstation_1'],
