epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5063.78,0.92856,3.11485,0.91922,0.1199,0.33001,0.1183,0.09564,0.75675,2.81461,0.87198,5.95985e-05,5.95985e-05,5.95985e-05
2,10101.1,0.83387,2.72267,0.89052,0.22664,0.4928,0.25171,0.20827,0.69211,2.29976,0.85697,0.000107458,0.000107458,0.000107458
3,15123.1,0.76501,2.29966,0.87401,0.33506,0.57945,0.3979,0.33987,0.61122,1.91816,0.83818,0.000143503,0.000143503,0.000143503
4,20158.7,0.71159,1.96178,0.86,0.46015,0.68805,0.55268,0.47708,0.58224,1.58141,0.83269,0.000125837,0.000125837,0.000125837
5,25164.5,0.67845,1.71499,0.85183,0.55518,0.72521,0.65981,0.57435,0.56744,1.35155,0.829,0.000108116,0.000108116,0.000108116
6,30166.6,0.65638,1.53425,0.84756,0.62735,0.77086,0.72308,0.63153,0.54953,1.21587,0.82626,9.0395e-05,9.0395e-05,9.0395e-05
7,35166.1,0.63751,1.40779,0.84108,0.69098,0.78398,0.7859,0.69156,0.53247,1.09352,0.82043,7.2674e-05,7.2674e-05,7.2674e-05
8,42297.8,0.62295,1.30591,0.83881,0.71594,0.81527,0.81449,0.71846,0.52529,1.01363,0.81941,5.4953e-05,5.4953e-05,5.4953e-05
9,47297.2,0.61573,1.24373,0.83719,0.7187,0.82442,0.82311,0.72721,0.51808,0.9842,0.8177,3.7232e-05,3.7232e-05,3.7232e-05
10,52325.3,0.60752,1.2017,0.836,0.73426,0.82988,0.83733,0.74203,0.5146,0.94778,0.81682,1.9511e-05,1.9511e-05,1.9511e-05
