Time,Fixed-Point-Operation,Node,Label,Old Bound,New Bound,Occurred Due To,Clause-1,Clause-2
0,1,card_drawn_obj,_9s,"[0.0,1.0]","[1.0,1.0]",card_drawn_obj-9s-fact,,
0,2,_9s,player_holds_,"[0.0,1.0]","[0.6,1.0]",player_holds_9s_rule,['card_drawn_obj'],
0,3,hand,hand_as_point_vals,"[0.0,1.0]","[0.6,1.0]",hand_as_point_vals_rule,['_9s'],
0,4,card_drawn_obj,_3c,"[0.0,1.0]","[1.0,1.0]",card_drawn_obj-3c-fact,,
0,5,_3c,player_holds_,"[0.0,1.0]","[0.6,1.0]",player_holds_3c_rule,['card_drawn_obj'],
0,6,hand,hand_as_point_vals,"[0.6,1.0]","[0.66,1.0]",hand_as_point_vals_rule,"['_9s', '_3c']",
0,7,card_drawn_obj,_Ad,"[0.0,1.0]","[1.0,1.0]",card_drawn_obj-Ad-fact,,
0,8,_Ad,player_holds_,"[0.0,1.0]","[0.3,1.0]",player_holds_Ad_rule,['card_drawn_obj'],
0,9,hand,hand_as_point_vals,"[0.66,1.0]","[0.663,1.0]",hand_as_point_vals_rule,"['_9s', '_3c', '_Ad']",
0,10,card_drawn_obj,_Kc,"[0.0,1.0]","[1.0,1.0]",card_drawn_obj-Kc-fact,,
0,11,_Kc,player_holds_,"[0.0,1.0]","[0.9,1.0]",player_holds_Kc_rule,['card_drawn_obj'],
0,12,hand,hand_as_point_vals,"[0.663,1.0]","[0.6639,1.0]",hand_as_point_vals_rule,"['_9s', '_3c', '_Ad', '_Kc']",
0,13,card_drawn_obj,_4d,"[0.0,1.0]","[1.0,1.0]",card_drawn_obj-4d-fact,,
0,14,_4d,player_holds_,"[0.0,1.0]","[0.6,1.0]",player_holds_4d_rule,['card_drawn_obj'],
0,15,hand,hand_as_point_vals,"[0.6639,1.0]","[0.66396,1.0]",hand_as_point_vals_rule,"['_9s', '_3c', '_Ad', '_Kc', '_4d']",
0,16,card_drawn_obj,_9c,"[0.0,1.0]","[1.0,1.0]",card_drawn_obj-9c-fact,,
0,17,_9c,player_holds_,"[0.0,1.0]","[0.6,1.0]",player_holds_9c_rule,['card_drawn_obj'],
0,18,hand,hand_as_point_vals,"[0.66396,1.0]","[0.663966,1.0]",hand_as_point_vals_rule,"['_9s', '_3c', '_Ad', '_Kc', '_4d', '_9c']",
0,19,hand,odds_of_losing,"[0.0,1.0]","[0.2391304347826087,1.0]",odds_of_losing_rule,['hand'],"[('Ah', 'full_deck'), ('Ad', 'full_deck'), ('Ac', 'full_deck'), ('As', 'full_deck'), ('2h', 'full_deck'), ('2d', 'full_deck'), ('2c', 'full_deck'), ('2s', 'full_deck'), ('3h', 'full_deck'), ('3d', 'full_deck'), ('3c', 'full_deck'), ('3s', 'full_deck'), ('4h', 'full_deck'), ('4d', 'full_deck'), ('4c', 'full_deck'), ('4s', 'full_deck'), ('5h', 'full_deck'), ('5d', 'full_deck'), ('5c', 'full_deck'), ('5s', 'full_deck'), ('6h', 'full_deck'), ('6d', 'full_deck'), ('6c', 'full_deck'), ('6s', 'full_deck'), ('7h', 'full_deck'), ('7d', 'full_deck'), ('7c', 'full_deck'), ('7s', 'full_deck'), ('8h', 'full_deck'), ('8d', 'full_deck'), ('8c', 'full_deck'), ('8s', 'full_deck'), ('9h', 'full_deck'), ('9d', 'full_deck'), ('9c', 'full_deck'), ('9s', 'full_deck'), ('10h', 'full_deck'), ('10d', 'full_deck'), ('10c', 'full_deck'), ('10s', 'full_deck'), ('Jh', 'full_deck'), ('Jd', 'full_deck'), ('Jc', 'full_deck'), ('Js', 'full_deck'), ('Qh', 'full_deck'), ('Qd', 'full_deck'), ('Qc', 'full_deck'), ('Qs', 'full_deck'), ('Kh', 'full_deck'), ('Kd', 'full_deck'), ('Kc', 'full_deck'), ('Ks', 'full_deck')]"
0,20,card_drawn_obj,_2s,"[0.0,1.0]","[1.0,1.0]",card_drawn_obj-2s-fact,,
0,21,_2s,player_holds_,"[0.0,1.0]","[0.6,1.0]",player_holds_2s_rule,['card_drawn_obj'],
0,22,hand,hand_as_point_vals,"[0.663966,1.0]","[0.6639666,1.0]",hand_as_point_vals_rule,"['_9s', '_3c', '_Ad', '_Kc', '_4d', '_9c', '_2s']",
0,23,hand,odds_of_losing,"[0.2391304347826087,1.0]","[1.0,1.0]",odds_of_losing_rule,['hand'],"[('Ah', 'full_deck'), ('Ad', 'full_deck'), ('Ac', 'full_deck'), ('As', 'full_deck'), ('2h', 'full_deck'), ('2d', 'full_deck'), ('2c', 'full_deck'), ('2s', 'full_deck'), ('3h', 'full_deck'), ('3d', 'full_deck'), ('3c', 'full_deck'), ('3s', 'full_deck'), ('4h', 'full_deck'), ('4d', 'full_deck'), ('4c', 'full_deck'), ('4s', 'full_deck'), ('5h', 'full_deck'), ('5d', 'full_deck'), ('5c', 'full_deck'), ('5s', 'full_deck'), ('6h', 'full_deck'), ('6d', 'full_deck'), ('6c', 'full_deck'), ('6s', 'full_deck'), ('7h', 'full_deck'), ('7d', 'full_deck'), ('7c', 'full_deck'), ('7s', 'full_deck'), ('8h', 'full_deck'), ('8d', 'full_deck'), ('8c', 'full_deck'), ('8s', 'full_deck'), ('9h', 'full_deck'), ('9d', 'full_deck'), ('9c', 'full_deck'), ('9s', 'full_deck'), ('10h', 'full_deck'), ('10d', 'full_deck'), ('10c', 'full_deck'), ('10s', 'full_deck'), ('Jh', 'full_deck'), ('Jd', 'full_deck'), ('Jc', 'full_deck'), ('Js', 'full_deck'), ('Qh', 'full_deck'), ('Qd', 'full_deck'), ('Qc', 'full_deck'), ('Qs', 'full_deck'), ('Kh', 'full_deck'), ('Kd', 'full_deck'), ('Kc', 'full_deck'), ('Ks', 'full_deck')]"
