Time,Fixed-Point-Operation,Node,Label,Old Bound,New Bound,Occurred Due To,Clause-1
1,1,Gary_Saylor,rostered_player,"[0.0,1.0]","[1.0,1.0]",rostered_player_rule,"[('Pittsburgh_Steelers', 'Gary_Saylor')]"
1,1,Gregoria_Cox,rostered_player,"[0.0,1.0]","[1.0,1.0]",rostered_player_rule,"[('Pittsburgh_Steelers', 'Gregoria_Cox')]"
1,1,Amy_Drumm,rostered_player,"[0.0,1.0]","[1.0,1.0]",rostered_player_rule,"[('Pittsburgh_Steelers', 'Amy_Drumm')]"
1,1,Debra_Endsley,rostered_player,"[0.0,1.0]","[1.0,1.0]",rostered_player_rule,"[('Pittsburgh_Steelers', 'Debra_Endsley')]"
1,1,Ricardo_Blais,rostered_player,"[0.0,1.0]","[1.0,1.0]",rostered_player_rule,"[('Pittsburgh_Steelers', 'Ricardo_Blais')]"
1,1,Timothy_Morley,rostered_player,"[0.0,1.0]","[1.0,1.0]",rostered_player_rule,"[('Baltamore_Ravens', 'Timothy_Morley')]"
1,1,Don_Cobb,rostered_player,"[0.0,1.0]","[1.0,1.0]",rostered_player_rule,"[('Baltamore_Ravens', 'Don_Cobb')]"
1,1,Gloria_Zenker,rostered_player,"[0.0,1.0]","[1.0,1.0]",rostered_player_rule,"[('Baltamore_Ravens', 'Gloria_Zenker')]"
1,1,Jack_Shaw,rostered_player,"[0.0,1.0]","[1.0,1.0]",rostered_player_rule,"[('Baltamore_Ravens', 'Jack_Shaw')]"
1,1,Dee_Vargas,rostered_player,"[0.0,1.0]","[1.0,1.0]",rostered_player_rule,"[('Baltamore_Ravens', 'Dee_Vargas')]"
1,1,Bradley_Young,rostered_player,"[0.0,1.0]","[1.0,1.0]",rostered_player_rule,"[('Dallas_Cowboys', 'Bradley_Young')]"
1,1,Jutta_Baker,rostered_player,"[0.0,1.0]","[1.0,1.0]",rostered_player_rule,"[('Dallas_Cowboys', 'Jutta_Baker')]"
1,1,Bernadette_Mitchell,rostered_player,"[0.0,1.0]","[1.0,1.0]",rostered_player_rule,"[('Dallas_Cowboys', 'Bernadette_Mitchell')]"
1,1,David_Garcia,rostered_player,"[0.0,1.0]","[1.0,1.0]",rostered_player_rule,"[('Dallas_Cowboys', 'David_Garcia')]"
1,1,Martha_Lui,rostered_player,"[0.0,1.0]","[1.0,1.0]",rostered_player_rule,"[('Dallas_Cowboys', 'Martha_Lui')]"
1,1,Gerald_Ramos,rostered_player,"[0.0,1.0]","[1.0,1.0]",rostered_player_rule,"[('Chicago_Bears', 'Gerald_Ramos')]"
1,1,John_Shriver,rostered_player,"[0.0,1.0]","[1.0,1.0]",rostered_player_rule,"[('Chicago_Bears', 'John_Shriver')]"
1,1,Deborah_Monteros,rostered_player,"[0.0,1.0]","[1.0,1.0]",rostered_player_rule,"[('Chicago_Bears', 'Deborah_Monteros')]"
1,1,Al_Gonzalez,rostered_player,"[0.0,1.0]","[1.0,1.0]",rostered_player_rule,"[('Chicago_Bears', 'Al_Gonzalez')]"
1,1,Paul_Morales,rostered_player,"[0.0,1.0]","[1.0,1.0]",rostered_player_rule,"[('Chicago_Bears', 'Paul_Morales')]"
1,1,Timothy_Morley,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Timothy_Morley'), ('Dallas_Cowboys', 'Timothy_Morley'), ('Chicago_Bears', 'Timothy_Morley')]"
1,1,Bradley_Young,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Bradley_Young'), ('Baltamore_Ravens', 'Bradley_Young'), ('Chicago_Bears', 'Bradley_Young')]"
1,1,Gerald_Ramos,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Gerald_Ramos'), ('Baltamore_Ravens', 'Gerald_Ramos'), ('Dallas_Cowboys', 'Gerald_Ramos')]"
1,1,Brenda_Brinson,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Brenda_Brinson'), ('Baltamore_Ravens', 'Brenda_Brinson'), ('Dallas_Cowboys', 'Brenda_Brinson'), ('Chicago_Bears', 'Brenda_Brinson')]"
1,1,Andrew_Rautio,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Andrew_Rautio'), ('Baltamore_Ravens', 'Andrew_Rautio'), ('Dallas_Cowboys', 'Andrew_Rautio'), ('Chicago_Bears', 'Andrew_Rautio')]"
1,1,Bernardo_James,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Bernardo_James'), ('Baltamore_Ravens', 'Bernardo_James'), ('Dallas_Cowboys', 'Bernardo_James'), ('Chicago_Bears', 'Bernardo_James')]"
1,1,Robert_Armstrong,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Robert_Armstrong'), ('Baltamore_Ravens', 'Robert_Armstrong'), ('Dallas_Cowboys', 'Robert_Armstrong'), ('Chicago_Bears', 'Robert_Armstrong')]"
1,1,Amanda_Helfrich,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Amanda_Helfrich'), ('Baltamore_Ravens', 'Amanda_Helfrich'), ('Dallas_Cowboys', 'Amanda_Helfrich'), ('Chicago_Bears', 'Amanda_Helfrich')]"
1,1,Judith_Mimnaugh,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Judith_Mimnaugh'), ('Baltamore_Ravens', 'Judith_Mimnaugh'), ('Dallas_Cowboys', 'Judith_Mimnaugh'), ('Chicago_Bears', 'Judith_Mimnaugh')]"
1,1,Shawna_Hernandez,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Shawna_Hernandez'), ('Baltamore_Ravens', 'Shawna_Hernandez'), ('Dallas_Cowboys', 'Shawna_Hernandez'), ('Chicago_Bears', 'Shawna_Hernandez')]"
1,1,Dora_Peacock,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Dora_Peacock'), ('Baltamore_Ravens', 'Dora_Peacock'), ('Dallas_Cowboys', 'Dora_Peacock'), ('Chicago_Bears', 'Dora_Peacock')]"
1,1,Michael_Milligan,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Michael_Milligan'), ('Baltamore_Ravens', 'Michael_Milligan'), ('Dallas_Cowboys', 'Michael_Milligan'), ('Chicago_Bears', 'Michael_Milligan')]"
1,1,Josef_Broberg,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Josef_Broberg'), ('Baltamore_Ravens', 'Josef_Broberg'), ('Dallas_Cowboys', 'Josef_Broberg'), ('Chicago_Bears', 'Josef_Broberg')]"
1,1,John_Arrington,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'John_Arrington'), ('Baltamore_Ravens', 'John_Arrington'), ('Dallas_Cowboys', 'John_Arrington'), ('Chicago_Bears', 'John_Arrington')]"
1,1,Karen_Casavez,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Karen_Casavez'), ('Baltamore_Ravens', 'Karen_Casavez'), ('Dallas_Cowboys', 'Karen_Casavez'), ('Chicago_Bears', 'Karen_Casavez')]"
1,1,Samantha_Tatum,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Samantha_Tatum'), ('Baltamore_Ravens', 'Samantha_Tatum'), ('Dallas_Cowboys', 'Samantha_Tatum'), ('Chicago_Bears', 'Samantha_Tatum')]"
1,1,Kristy_Meeks,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Kristy_Meeks'), ('Baltamore_Ravens', 'Kristy_Meeks'), ('Dallas_Cowboys', 'Kristy_Meeks'), ('Chicago_Bears', 'Kristy_Meeks')]"
1,1,Eunice_Jackson,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Eunice_Jackson'), ('Baltamore_Ravens', 'Eunice_Jackson'), ('Dallas_Cowboys', 'Eunice_Jackson'), ('Chicago_Bears', 'Eunice_Jackson')]"
1,1,Patricia_Logan,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Patricia_Logan'), ('Baltamore_Ravens', 'Patricia_Logan'), ('Dallas_Cowboys', 'Patricia_Logan'), ('Chicago_Bears', 'Patricia_Logan')]"
1,1,Don_Cobb,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Don_Cobb'), ('Dallas_Cowboys', 'Don_Cobb'), ('Chicago_Bears', 'Don_Cobb')]"
1,1,Jutta_Baker,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Jutta_Baker'), ('Baltamore_Ravens', 'Jutta_Baker'), ('Chicago_Bears', 'Jutta_Baker')]"
1,1,John_Shriver,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'John_Shriver'), ('Baltamore_Ravens', 'John_Shriver'), ('Dallas_Cowboys', 'John_Shriver')]"
1,1,Alexandria_Thomas,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Alexandria_Thomas'), ('Baltamore_Ravens', 'Alexandria_Thomas'), ('Dallas_Cowboys', 'Alexandria_Thomas'), ('Chicago_Bears', 'Alexandria_Thomas')]"
1,1,Terry_Her,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Terry_Her'), ('Baltamore_Ravens', 'Terry_Her'), ('Dallas_Cowboys', 'Terry_Her'), ('Chicago_Bears', 'Terry_Her')]"
1,1,Melanie_Cirrincione,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Melanie_Cirrincione'), ('Baltamore_Ravens', 'Melanie_Cirrincione'), ('Dallas_Cowboys', 'Melanie_Cirrincione'), ('Chicago_Bears', 'Melanie_Cirrincione')]"
1,1,Mark_Luttrell,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Mark_Luttrell'), ('Baltamore_Ravens', 'Mark_Luttrell'), ('Dallas_Cowboys', 'Mark_Luttrell'), ('Chicago_Bears', 'Mark_Luttrell')]"
1,1,Donald_Collins,free_agent,"[0.0,1.0]","[1.0,1.0]",free_agent_rule,"[('Pittsburgh_Steelers', 'Donald_Collins'), ('Baltamore_Ravens', 'Donald_Collins'), ('Dallas_Cowboys', 'Donald_Collins'), ('Chicago_Bears', 'Donald_Collins')]"
